RSPO;nazwa_szkoly;miejscowosc;wojewodztwo;publicznosc_status;prog;wynik;zdawalnosc;n_zdajacych;res_prog_wynik;res_wynik_zdaw;outlier_score;grupa;kategoria_uczniow;typ_gminy;liczba_uczniow
22524;ixlojaroslawadabrowskiego;lodz gorna;ŁÓDZKIE;publiczna;97.375;64.45205479;98.63013699;73.0;3.331219810187733;;;Srodek;Dzieci lub młodzież;gmina miejska;550.0
22525;xiilostanislawawyspianskiego;lodz srodmiescie;ŁÓDZKIE;publiczna;138.6875;77.05263158;100.0;114.0;7.963546626829938;;;Liderzy;Dzieci lub młodzież;gmina miejska;481.0
22574;xlokrolowejjadwigi;mokotow;MAZOWIECKIE;publiczna;159.8;70.35789474;100.0;95.0;-2.803315539948059;;;Srodek;Dzieci lub młodzież;gmina miejska;668.0
22592;xxviiilojanakochanowskiego;mokotow;MAZOWIECKIE;publiczna;170.985;81.3740458;100.0;132.0;6.055501155101695;;;Srodek;Dzieci lub młodzież;gmina miejska;760.0
22778;xxxivlomigueladecervantesa;mokotow;MAZOWIECKIE;publiczna;181.475;81.01526718;100.0;131.0;3.6734380032887373;;;Srodek;Dzieci lub młodzież;gmina miejska;727.0
22856;xliilomariikonopnickiej;mokotow;MAZOWIECKIE;publiczna;141.52;71.26724138;99.13793103;116.0;1.6318310277488877;;;Srodek;Dzieci lub młodzież;gmina miejska;660.0
22872;vilo;rzeszow;PODKARPACKIE;publiczna;90.9;64.85603113;100.0;258.0;4.984077689128533;;;Srodek;Dzieci lub młodzież;gmina miejska;1240.0
22897;xlivlostefanabanacha;mokotow;MAZOWIECKIE;publiczna;154.245;69.52419355;98.4;125.0;-2.5655824521386137;;;Srodek;Dzieci lub młodzież;gmina miejska;685.0
22922;xlixlojohannawolfgangagoethego;mokotow;MAZOWIECKIE;publiczna;145.99166666666667;65.52475248;100.0;101.0;-4.973141570829782;;;Srodek;Dzieci lub młodzież;gmina miejska;680.0
22927;lxxxiloaleksandrafredry;srodmiescie;MAZOWIECKIE;publiczna;164.51666666666668;77.18095238;100.0;105.0;3.110003424324148;;;Srodek;Dzieci lub młodzież;gmina miejska;537.0
22932;lxvlogenjozefabema;mokotow;MAZOWIECKIE;publiczna;136.985;74.13131313;100.0;99.0;5.3706020486518184;;;Srodek;Dzieci lub młodzież;gmina miejska;466.0
23199;iiloadamamickiewicza;gdynia;POMORSKIE;publiczna;165.38333333333333;72.88888889;100.0;180.0;-1.3492205290604602;;;Srodek;Dzieci lub młodzież;gmina miejska;797.0
23486;xxiilojosémartí;bielany;MAZOWIECKIE;publiczna;174.3166666666667;79.35333333;100.0;150.0;3.3921852883596983;;;Srodek;Dzieci lub młodzież;gmina miejska;680.0
